prompt,modified_prompt
"beautiful portrait commission of a albino male furry anthro lion wearing a tiger striped jacket. vaporwave city at night in the rain. Neon light. Atmospheric. Character design by charlie bowater, ross tran, artgerm, and makoto shinkai, detailed, inked, western comic book art","beautiful portrait commission of a albino male furry anthro lion wearing a tiger striped jacket. vaporwave city at night in the rain. Neon light. Atmospheric. Character design by charlie bowater, ross tran, artgerm, and makoto shinkai, detailed, inked, western comic book art with a cinematic atmosphere"
jonathan ive dieter rams mooncake 🥮 handbag 👜 👝 packaging,jonathan ive dieter rams mooncake 🥮 handbag 👜 👝 packaging in high contrast
"Amazing girl in underwear holds a camera, fine art portrait photography by Sarah Moon","Amazing girl in underwear holds a camera, fine art portrait photography by Sarah Moon in high contrast"
lots of different cartoon animals in lots of different styles,lots of different cartoon animals in lots of different styles in vibrant colors
"a detailed manga illustration character full body portrait of a dark haired cyborg anime man surrounded by clouds of dark smoke and fire, trending on artstation, digital art, 4 k resolution, detailed, high quality, sharp focus, hq artwork, insane detail, concept art, character concept, character illustration, full body illustration, perfect anatomy, cinematic, volumetric lighting","a detailed manga illustration character full body portrait of a dark haired cyborg anime man surrounded by clouds of dark smoke and fire, trending on artstation, digital art, 4 k resolution, detailed, high quality, sharp focus, hq artwork, insane detail, concept art, character concept, character illustration, full body illustration, perfect anatomy, cinematic, volumetric lighting in vibrant colors"
"beautiful render of a landscape, unreal engine, first light, majestic mountains, lake, lush grass, beautiful sunrise, hunters standing with their backs turned, soft light, by greg rutkowski, cgsociety","beautiful render of a landscape, unreal engine, first light, majestic mountains, lake, lush grass, beautiful sunrise, hunters standing with their backs turned, soft light, by greg rutkowski, cgsociety in high contrast"
"dynamic portrait of a beautiful cosmic cultist in space, high detail, realism, digital art, dramatic lighting, high contrast, artstation, 4k","dynamic portrait of a beautiful cosmic cultist in space, high detail, realism, digital art, dramatic lighting, high contrast, artstation, 4k with dramatic shadows"
"pencil drawing of a beautiful greek goddess aphrodite wearing a laurel wreath and arrowhead earrings, beautiful confident and piercing eyes, beautiful blonde hair, hyper realistic face, in the style of greg rutkowski, fantasy, amazing detail, epic, elegant, smooth, sharp focus, from the front","pencil drawing of a beautiful greek goddess aphrodite wearing a laurel wreath and arrowhead earrings, beautiful confident and piercing eyes, beautiful blonde hair, hyper realistic face, in the style of greg rutkowski, fantasy, amazing detail, epic, elegant, smooth, sharp focus, from the front with dramatic shadows"
the first human ever born,the first human ever born with dramatic shadows
"girl bikiny fit body, chrome, reflect, ultra realistic!!!, clear weather, golden hour, sharp focus","girl bikiny fit body, chrome, reflect, ultra realistic!!!, clear weather, golden hour, sharp focus with dim lighting"
"Beautiful Delicate Detailed portrait of sun summer woman, With Magical golden eyes by Tom Bagshaw, Bastien Lecouffe Deharme, Erik Johansson, Amanda Sage, Alex Grey, Alphonse Mucha, Harry Clarke, Josephine Wall and Pino Daeni, Delicate winter frozen creature With long golden Hair and Magical Sparkling Eyes, Magic Particles; Magic Swirls, in a out of this world magical summer landscape, 4K; 64 megapixels; 8K resolution concept art; detailed painting; digital illustration; hyperrealism; trending on Artstation; Unreal Engine Photorealistic, lifelike, Unreal Engine, sharp, sharpness, detailed, 8K","Beautiful Delicate Detailed portrait of sun summer woman, With Magical golden eyes by Tom Bagshaw, Bastien Lecouffe Deharme, Erik Johansson, Amanda Sage, Alex Grey, Alphonse Mucha, Harry Clarke, Josephine Wall and Pino Daeni, Delicate winter frozen creature With long golden Hair and Magical Sparkling Eyes, Magic Particles; Magic Swirls, in a out of this world magical summer landscape, 4K; 64 megapixels; 8K resolution concept art; detailed painting; digital illustration; hyperrealism; trending on Artstation; Unreal Engine Photorealistic, lifelike, Unreal Engine, sharp, sharpness, detailed, 8K with dramatic shadows"
"highly detailed cyberpunk new york city, high definition beksinski painting","highly detailed cyberpunk new york city, high definition beksinski painting with a cinematic atmosphere"
"A single dragon with half open wings breathing fire on the top of a mountain, epic composition, detailed and intricate image, cinematic, 4K","A single dragon with half open wings breathing fire on the top of a mountain, epic composition, detailed and intricate image, cinematic, 4K in high contrast"
"the'other mother'from'coraline ', full body, pose, stop frame animation, full figured, detailed, realistic, neil gainman,","the'other mother'from'coraline ', full body, pose, stop frame animation, full figured, detailed, realistic, neil gainman, with dim lighting"
"a scene of a beautiful intricate epic futuristic pharaoh city with a cyber sphynx and hovering chariots taken from a distance, minimalist, cinematic lighting","a scene of a beautiful intricate epic futuristic pharaoh city with a cyber sphynx and hovering chariots taken from a distance, minimalist, cinematic lighting in high contrast"
"ancient persian super hero the rostam by ferdowsi on mountain damavand peak, art by greg rutkowski, dark fantasy art, high detail, trending on artstation, insane details, dramatic lighting,","ancient persian super hero the rostam by ferdowsi on mountain damavand peak, art by greg rutkowski, dark fantasy art, high detail, trending on artstation, insane details, dramatic lighting, with dim lighting"
"an industrial design render of an advanced robotic armadillo curled up behind a snail, industrial, biomimetic, bionic, 3D octane render, 8K, artstation","an industrial design render of an advanced robotic armadillo curled up behind a snail, industrial, biomimetic, bionic, 3D octane render, 8K, artstation in high contrast"
"a beautiful artwork illustration, spaceship hyperdrive speed, high contrast, high contrast, high contrast, vibrant colors, vivid colors, high saturation, by Greg Rutkowski and Jesper Ejsing and Raymond Swanland, featured on artstation, wide angle, vertical orientation","a beautiful artwork illustration, spaceship hyperdrive speed, high contrast, high contrast, high contrast, vibrant colors, vivid colors, high saturation, by Greg Rutkowski and Jesper Ejsing and Raymond Swanland, featured on artstation, wide angle, vertical orientation with dramatic shadows"
there was once a samurai who multiples 4 7 times. each time he multiplied parts of his body became a pepper. each finger held 4 7 cards and then each card was stolen by aliens who hitchhiked a ufo with christmas lights and laughed so hard that they fell off to planet mars! oil painting 1 5 0 mpx,there was once a samurai who multiples 4 7 times. each time he multiplied parts of his body became a pepper. each finger held 4 7 cards and then each card was stolen by aliens who hitchhiked a ufo with christmas lights and laughed so hard that they fell off to planet mars! oil painting 1 5 0 mpx in high contrast
creature sushi roots cactus elemental flush of force nature micro world fluo light deepdream illumination ray tracing hdr fanart arstation by sung choi and eric pfeiffer and gabriel garza and casper konefal,creature sushi roots cactus elemental flush of force nature micro world fluo light deepdream illumination ray tracing hdr fanart arstation by sung choi and eric pfeiffer and gabriel garza and casper konefal in high contrast
"A beautiful portrait of a Deepika Padukone as santanico pandemonium from the movie from dusk till dawn, movie still, vibrant color scheme, highly detailed, in the style of cinematic, artstation, Greg rutkowski UHD 8K","A beautiful portrait of a Deepika Padukone as santanico pandemonium from the movie from dusk till dawn, movie still, vibrant color scheme, highly detailed, in the style of cinematic, artstation, Greg rutkowski UHD 8K with dim lighting"
"an expansive view of a futuristic containment building in a rainforest valley with a futuristic city in the distance, tropical, national geographic, hyper realistic, 4 k, hazy light","an expansive view of a futuristic containment building in a rainforest valley with a futuristic city in the distance, tropical, national geographic, hyper realistic, 4 k, hazy light in vibrant colors"
“a failed ICBM missile launch at night. The missile is spiraling 🌀 out of control and exploding spectacularly. The sky is raining down glowing burning pieces of debris. The smoke is intense.”,“a failed ICBM missile launch at night. The missile is spiraling 🌀 out of control and exploding spectacularly. The sky is raining down glowing burning pieces of debris. The smoke is intense.” in high contrast
"3 / 4 view of a portrait of a girl with wings with wings, confident pose, digital painting, artstation, concept art, smooth, sharp focus, illustration, trending on artstation, highly detailed, concept art, marvel comic, disney, pixar, trending on artstation h 6 4 0","3 / 4 view of a portrait of a girl with wings with wings, confident pose, digital painting, artstation, concept art, smooth, sharp focus, illustration, trending on artstation, highly detailed, concept art, marvel comic, disney, pixar, trending on artstation h 6 4 0 with a cinematic atmosphere"
"retrofuturistic portrait of a woman in astronaut helmet, smooth transparent visor, reflective gradient, intricate space graphics in background, close up, quint buchholz, wlop, dan mumford, artgerm, liam brazier, peter mohrbacher, raw, featured on artstation, octane render, cinematic, elegant, intricate, 8 k","retrofuturistic portrait of a woman in astronaut helmet, smooth transparent visor, reflective gradient, intricate space graphics in background, close up, quint buchholz, wlop, dan mumford, artgerm, liam brazier, peter mohrbacher, raw, featured on artstation, octane render, cinematic, elegant, intricate, 8 k with dim lighting"
"humanity industrial spaceship, deep space exploration, ridley scott universe, mysterious, ultrarealistic, cinematic lighting, 4k, wide angle, trending on artstation, beksinski","humanity industrial spaceship, deep space exploration, ridley scott universe, mysterious, ultrarealistic, cinematic lighting, 4k, wide angle, trending on artstation, beksinski with dramatic shadows"
"a photo of an empty hallway with brown carpet, fluorescent lights and walls with yellow wallpaper on them","a photo of an empty hallway with brown carpet, fluorescent lights and walls with yellow wallpaper on them in vibrant colors"
"A monochrome, symmetrical, police sketch of the face of Hatsune Miku, 1980s, drawn on paper","A monochrome, symmetrical, police sketch of the face of Hatsune Miku, 1980s, drawn on paper with dim lighting"
personification autistic feel in the world unreal engine 5,personification autistic feel in the world unreal engine 5 with a cinematic atmosphere
"female blacksmith, very burly. strawberry - blonde hair, many freckles. resembles natalia vodianova","female blacksmith, very burly. strawberry - blonde hair, many freckles. resembles natalia vodianova with dramatic shadows"
"female blacksmith, very burly. strawberry - blonde hair, many freckles. resembles natalia vodianova","female blacksmith, very burly. strawberry - blonde hair, many freckles. resembles natalia vodianova in high contrast"
"homer simpson glowing, beautiful, highly detailed, digital art, sharp focus, trending on art station","homer simpson glowing, beautiful, highly detailed, digital art, sharp focus, trending on art station with a cinematic atmosphere"
"An epic fantasy pokemon anime style portrait painting of a long haired, red headed male sky-pirate in front of an airship","An epic fantasy pokemon anime style portrait painting of a long haired, red headed male sky-pirate in front of an airship with dramatic shadows"
"strange giant insects, beetles, spiders and flies, swarming in a cornfield, oil painting by max ernst and anselm kiefer, decay, mixed media, textured, sharp focus, highly detailed, photographic emulsion cracked and peeling, rust, cinematic lighting, 8 k, hd","strange giant insects, beetles, spiders and flies, swarming in a cornfield, oil painting by max ernst and anselm kiefer, decay, mixed media, textured, sharp focus, highly detailed, photographic emulsion cracked and peeling, rust, cinematic lighting, 8 k, hd with dramatic shadows"
"field of skeletons, award winning horror photography","field of skeletons, award winning horror photography in high contrast"
"Hearst Castle as a tiny home. Photographed with Leica Summilux-M 24 mm lens, ISO 100, f/8, Portra 400","Hearst Castle as a tiny home. Photographed with Leica Summilux-M 24 mm lens, ISO 100, f/8, Portra 400 with a cinematic atmosphere"
"realistic photoshoot for a new vogue lookbook, color film photography, portrait of a beautiful person, in style of Campbell Addy, 35mm","realistic photoshoot for a new vogue lookbook, color film photography, portrait of a beautiful person, in style of Campbell Addy, 35mm with dramatic shadows"
"a beautiful and highly detailed matte painting of an ancient celtic elven temple, epic scale, insanely complex, hyperdetailed, sharp focus, hyperrealism, artstation, cgsociety, 8 k, by caspar friedrich, albert bierstadt, james gurney, brian froud,","a beautiful and highly detailed matte painting of an ancient celtic elven temple, epic scale, insanely complex, hyperdetailed, sharp focus, hyperrealism, artstation, cgsociety, 8 k, by caspar friedrich, albert bierstadt, james gurney, brian froud, with dim lighting"
"city of god ( 2 0 0 2 ) directed by fernando meirelles, movie still frame","city of god ( 2 0 0 2 ) directed by fernando meirelles, movie still frame in high contrast"
"Jeff Bezos as villain. Emperor, evil grin. Fire in the background. Detailed face. Red eyes.","Jeff Bezos as villain. Emperor, evil grin. Fire in the background. Detailed face. Red eyes. with a cinematic atmosphere"
"portrait of a Shibari rope wrapped around the face and neck of an old cyborg merchant, mouth wired shut, headshot, insanely nice professional hair style, dramatic hair color, digital painting, of a old 17th century, amber jewels, baroque, ornate clothing, scifi, realistic, hyper detailed, chiaroscuro, concept art, art by Franz Hals and Jon Foster and Ayami Kojima and Amano and Karol Bak,","portrait of a Shibari rope wrapped around the face and neck of an old cyborg merchant, mouth wired shut, headshot, insanely nice professional hair style, dramatic hair color, digital painting, of a old 17th century, amber jewels, baroque, ornate clothing, scifi, realistic, hyper detailed, chiaroscuro, concept art, art by Franz Hals and Jon Foster and Ayami Kojima and Amano and Karol Bak, with dramatic shadows"
"iridescent sinewy smooth muscular male warframe sleek glossy black pearlescent scifi armor with smooth black featureless helmet, by greg rutkowski, mark brookes, jim burns, tom bagshaw, magali villeneuve, trending on artstation","iridescent sinewy smooth muscular male warframe sleek glossy black pearlescent scifi armor with smooth black featureless helmet, by greg rutkowski, mark brookes, jim burns, tom bagshaw, magali villeneuve, trending on artstation with a cinematic atmosphere"
"emma watson as supergirl, realistic, intricate, elegant, art by artgerm and wlop","emma watson as supergirl, realistic, intricate, elegant, art by artgerm and wlop with dim lighting"
"a psychedelic portrait of omin dran skeletal mind flayer psion goat skull politician, vibrant color scheme, highly detailed, in the style of romanticism, cinematic, artstation, moebius, greg rutkowski","a psychedelic portrait of omin dran skeletal mind flayer psion goat skull politician, vibrant color scheme, highly detailed, in the style of romanticism, cinematic, artstation, moebius, greg rutkowski with a cinematic atmosphere"
"a glowing magical orb flickering with purple and green lightning, unreal engine, path tracing","a glowing magical orb flickering with purple and green lightning, unreal engine, path tracing with a cinematic atmosphere"
a brocolli eating a turnip with utensils,a brocolli eating a turnip with utensils with dramatic shadows
Trump face on a 1 billion dollar bill,Trump face on a 1 billion dollar bill with dramatic shadows
"what if we will never meet again detailed analogue mixed media collage with canvas texture in style of contemporary art, punk art, hyperrealistic beautiful face, photorealistic, expressionism, masterpiece, perfect composition, spectacular quality, intricate oil details, vivid broken glass, torn paper","what if we will never meet again detailed analogue mixed media collage with canvas texture in style of contemporary art, punk art, hyperrealistic beautiful face, photorealistic, expressionism, masterpiece, perfect composition, spectacular quality, intricate oil details, vivid broken glass, torn paper with dim lighting"
"An epic fantastic realism comic book style portrait painting of a middle aged male aasimar hexblade warlock, massive angel wings, teal energy, silver hair, D&D Concept Art, unreal 5, DAZ, trending on deviantart hyperrealistic, octane render, cosplay, RPG portrait, dynamic lighting","An epic fantastic realism comic book style portrait painting of a middle aged male aasimar hexblade warlock, massive angel wings, teal energy, silver hair, D&D Concept Art, unreal 5, DAZ, trending on deviantart hyperrealistic, octane render, cosplay, RPG portrait, dynamic lighting in high contrast"
"dragon fire vs blue armor knight shield, close up, anime, green car hatchback, desert landscape, greg manchess, akehiko inoue and ross tran, Pyromallis Nekro Rene Margitte","dragon fire vs blue armor knight shield, close up, anime, green car hatchback, desert landscape, greg manchess, akehiko inoue and ross tran, Pyromallis Nekro Rene Margitte with dramatic shadows"
the batmobile caught in the flow of time. octane render. 8 k. dark. atmospheric. cinematic. spectacular. sense of awe. debris. mist. strong winds. super slowmotion. matte painting painted by sparth and craig mullins,the batmobile caught in the flow of time. octane render. 8 k. dark. atmospheric. cinematic. spectacular. sense of awe. debris. mist. strong winds. super slowmotion. matte painting painted by sparth and craig mullins with dim lighting
"full samurai armor spiderman , muscle extremely detailed, fantastic details full face, mouth, trending on artstation, pixiv, cgsociety, hyperdetailed Unreal Engine 4k 8k ultra HD, WLOP","full samurai armor spiderman , muscle extremely detailed, fantastic details full face, mouth, trending on artstation, pixiv, cgsociety, hyperdetailed Unreal Engine 4k 8k ultra HD, WLOP with dramatic shadows"
epic stranger things poster,epic stranger things poster with dramatic shadows
"portrait of a beautiful woman wearing a sari dress, holding a bouquet of flowing flowers, drenched body, wet dripping hair, emerging from the water, fantasy, regal, fractal crystal, fractal gems, by stanley artgerm lau, greg rutkowski, thomas kindkade, alphonse mucha, loish, norman rockwell","portrait of a beautiful woman wearing a sari dress, holding a bouquet of flowing flowers, drenched body, wet dripping hair, emerging from the water, fantasy, regal, fractal crystal, fractal gems, by stanley artgerm lau, greg rutkowski, thomas kindkade, alphonse mucha, loish, norman rockwell in vibrant colors"
"screenshot of a smiling shirtless muscular senator matusz morawiecki wearing glasses from the game metal gear rising : revengeance ( 2 0 1 3 ), 4 k, high quality","screenshot of a smiling shirtless muscular senator matusz morawiecki wearing glasses from the game metal gear rising : revengeance ( 2 0 1 3 ), 4 k, high quality with dim lighting"
"a multiracial greek god following a watchful light through the streets of a city, sparse detail, by george luks, joan miro and moebius","a multiracial greek god following a watchful light through the streets of a city, sparse detail, by george luks, joan miro and moebius with dim lighting"
sphinx head in central park new york drone footage shot on arri alexa flat light high detail blue sky s - log ,sphinx head in central park new york drone footage shot on arri alexa flat light high detail blue sky s - log  with dramatic shadows
"sci-fi brutalism airport wall structure motherboard on the coronation of napoleon painting and digital billboard in the middle, unreal engine 5, keyshot, octane, artstation trending, ultra high detail, ultra realistic, cinematic, 8k, 16k, in style of zaha hadid, in style of nanospace Michael Menzelincev, in style of Lee SOUDER, colors in style of the Blade Runner 2049, in plastic, dark, tilt shift,","sci-fi brutalism airport wall structure motherboard on the coronation of napoleon painting and digital billboard in the middle, unreal engine 5, keyshot, octane, artstation trending, ultra high detail, ultra realistic, cinematic, 8k, 16k, in style of zaha hadid, in style of nanospace Michael Menzelincev, in style of Lee SOUDER, colors in style of the Blade Runner 2049, in plastic, dark, tilt shift, in vibrant colors"
"photo of homeless people, on the Moon, long shadows, in a Russian cyberpunk city called Neo Norilsk, pitch black sky with stunning bright stars, bright sun, high contrast, diverse outfits, lively, freaky, black sky full of stars, LEDs, holograms, blinding bright sun, sci-fi, cyberpunk outfits, photorealistic, grainy, 35mm, intricate, very very beautiful, elegant, smooth, cinematic, Unreal Engine 5, by Beeple","photo of homeless people, on the Moon, long shadows, in a Russian cyberpunk city called Neo Norilsk, pitch black sky with stunning bright stars, bright sun, high contrast, diverse outfits, lively, freaky, black sky full of stars, LEDs, holograms, blinding bright sun, sci-fi, cyberpunk outfits, photorealistic, grainy, 35mm, intricate, very very beautiful, elegant, smooth, cinematic, Unreal Engine 5, by Beeple with a cinematic atmosphere"
high quality photo of a big gorilla working at a fast food restaurant,high quality photo of a big gorilla working at a fast food restaurant with dim lighting
"ultradetailed sci-fi character portrait of a beautiful symmetric Medusa radiating a majestic glowing aura, ornate cyberpunk robes, intricate digital painting, artstation, concept art, smooth, sharp focus, illustration, deep vibrant colors, 3d rim light, hyperrealistic, photorealistic, Kodakchrome","ultradetailed sci-fi character portrait of a beautiful symmetric Medusa radiating a majestic glowing aura, ornate cyberpunk robes, intricate digital painting, artstation, concept art, smooth, sharp focus, illustration, deep vibrant colors, 3d rim light, hyperrealistic, photorealistic, Kodakchrome in vibrant colors"
"Die antwoord, digital art, trending on artstation","Die antwoord, digital art, trending on artstation with dramatic shadows"
"screenshot of multiple grey Jedi statues by Zdzisław Beksiński, from 1970s star wars film thriller directed by Stanley Kubrick, iconic scene, 4k UHD still frame, windy hair, cinematic lighting, stunning cinematography, hyper detailed scene, anamorphic lenses, kodak color film stock","screenshot of multiple grey Jedi statues by Zdzisław Beksiński, from 1970s star wars film thriller directed by Stanley Kubrick, iconic scene, 4k UHD still frame, windy hair, cinematic lighting, stunning cinematography, hyper detailed scene, anamorphic lenses, kodak color film stock in vibrant colors"
"Giant fanged limb monster walks in the road. Drops of blood, meat, guts, mouths, many eyes on head, horns. Dark colors, high detail, hyperrealism, horror art, intricate details, masterpiece, biopunk, body-horror, art by Greg Broadmore, Esao Andrews, Beksinski, Giger","Giant fanged limb monster walks in the road. Drops of blood, meat, guts, mouths, many eyes on head, horns. Dark colors, high detail, hyperrealism, horror art, intricate details, masterpiece, biopunk, body-horror, art by Greg Broadmore, Esao Andrews, Beksinski, Giger with a cinematic atmosphere"
"short kid wearing a supreme shirt, detailed, studio","short kid wearing a supreme shirt, detailed, studio in vibrant colors"
"fashion portrait, most beautiful girl in the world, glowing cybernetic augments, hyperrealism, year 2447, cdx","fashion portrait, most beautiful girl in the world, glowing cybernetic augments, hyperrealism, year 2447, cdx in high contrast"
